UID,survey_id,prompt_number,prompt_id,prompt,response,score,selectionTag,AnalystComments
1357.14,1357,14,14,The past,"Winds through us, both from our lives and cultural and worldly roots, reaches back onto geological and cosmological timescales, can be folded into our present and / or we can occupy it, can have us, may have many of us in the sense that much happens from our conscious and unconscious assessment or drives from it; and it is past - so its really bizarre that it matters and as this it is a very tangible representation of our attachment to our egos, attachment to a version of this as supposed reality, detachment from (probably) our full potential 'nowâ€™, while the past is deeply important for how we can act â€“ where would we be without the multiple beautiful structures - physical thought practice nurture and being to try and define only a few â€“ for what this creates within and for us.",5.5,15,
1357.22,1357,22,43,At times I worry about,"Insufficient care and attention for his egocentric being, mostly worried about world scale justice, equity, and fairness (including all living systems) cares, and worried about low worry for immediate community and family sometime too.",5.0,24,
1522.08,1522,8,8,What gets me into trouble is,not considering others possibilities.,6.5,26,
1522.10,1522,10,10,When people are helpless,They often don&#039;t know it so they flak around doing nothing.,2.0,6,
1522.15,1522,15,41,Privacy,is a sense of hiding from others that which you don&#039;t want them to know and they probably know anyway.,1.0,1,
1522.32,1522,32,32,If I can\'t get what I want,I really don&#039;t want that much any more.,1.5,46,
1524.03,1524,3,3,Change is,hj;oh,5.0,18,
1529.10,1529,10,10,When people are helpless,At times I try to find other ways of doing thing. But sometime I might be disappointed and stop or quit.,3.5,12,
1665.02,1665,2,2,When I am criticized,"I often find myself running through a microgeny of inner responses, starting with early emotional & defensive ones, and hopefully progressing through successively more mature ones, & the maturity and appropriateness of the overt response varies according to the point of expression 
 to which point of this inner progression ",5.5,35,
1665.05,1665,5,5,Being with other people,Is a mutually mutating meeting of universes ,6.0,7,
1667.24,1667,24,24,If I had more money,I would work more for the greater good of the world. I feel I would be more purposeful and selfless.,3.5,15,
1668.27,1668,27,45,People who step out of line,change the line and provide others the opportunity to realise new potential futures that where not possible until that instance in time that revealed it was possible to change the line&#039;s trajectory.,5.5,14,
1668.34,1668,34,47,Technology,"has been one of the most significant disruptors of the very fabric of society and has been the capstone of hope for a ‘better future’ for many; and a cornerstone of deceit for a much larger engine of institutionalised social change - the ‘economy’, that has endlessly promised to make our lives simpler, easier, more comfortable, and more enjoyable. And when I take my mobile phone out of my pocket in the morning on the way to work to ring my wife, who is also on her way to work, technology is an amazing gift that allows two people who desire ongoing connection with each other the opportunity to do so.",5.0,37,
1670.32,1670,32,32,If I can\'t get what I want,"I work hard to step back, recognize the attachment, stay with the feeling, relax into it and in time it lets go",4.5,32,
1672.15,1672,15,41,Privacy,"is about avoiding the fear of exposing ourselves &#x28;or others&#x29; to the judgment of others - it&#039;s probably not a &#039;need&#039;, but a &#039;want&#039; that has become an expectation in western society.",4.0,49,
1678.24,1678,24,24,If I had more money,"I would have less debt, and would be more confident that I could support my parents into their retirement. If I had more money, I feel like I could take more risks in regards to where I work, or even starting my own company that could be more rewarding in the long run. I do not equate money with happiness, but given my situation it would mean more stability in my family.",4.0,41,
1681.31,1681,31,31,My father,was a hard worker and always tried to do his best. I loved his hands.,2.5,48,
1688.35,1688,35,35,My conscience bothers me if,I hurt myself or others.,2.5,49,
1695.01,1695,1,1,Raising a family,no,1.0,3,
1695.22,1695,22,43,At times I worry about,my dreams,3.5,18,
1698.25,1698,25,25,My main problem is,"I haven&#039;t figured out how to warp the temporal plane and therefore find presence in every minute. I can touch upon that infinity when I remind myself to do so, but sometimes I can be so caught up in the complexity, that I forget about this inner simplicity.",4.5,27,
1701.06,1701,6,6,The thing I like about myself is,"how radiant and resplendent the blessing of creation&#039;s unfurling is, that I have for these breaths this incarnate, particular, sensory dip in the ocean of all-being/all-becoming.",5.5,26,
1713.35,1713,35,35,My conscience bothers me if,If my words or actions have hurt someone,3.5,33,
1714.20,1714,20,44,Business and society,are expressions of one another.,4.0,11,
1717.09,1717,9,9,Education,"is something I value for my own personal development, and am devoted to as part of my path in service to the transformation of others.",4.5,16,
1717.13,1717,13,40,We could make the world a better place if,"we would truly listen to each other enough to see our commonality, knew our own selves and inner workings enough to not be so attached to our desires and views, and awakened more fully in awe to the magnificence and mystery of this Life we are and share.",5.5,22,
1731.09,1731,9,9,Education,"on a need to know basis, it will be there waiting :&#x29;",5.0,38,
1731.11,1731,11,39,What I like to do best is,"be here in this moment with all parts of me, here, in the unknowable known moment and breathe, be being by being, feel the inseparability of the me and the world, the environment and my mind.",5.5,30,
1731.26,1731,26,26,When I get mad,"unsanity, its a lovely swim",5.0,27,
1731.36,1731,36,48,Sometimes I wish that,"every thing could just be exactly as it is, oh, wonderful, you fairy you :&#x29;",5.0,41,
1749.30,1749,30,30,If I were in charge,"depending on what I was in charge of I might not be for long as I prefer to lead by influence rather than by command and make a great #2, but not sure I want to be &quot;in charge&quot; when in reality one can only truly be &quot;in charge&quot; of themselves.",4.0,1,
1763.04,1763,4,37,"These days, work","...is so much more satisfying and enjoyable than ever before, complete with challenges, possibilities for personal and organizational growth, opportunities for collaboration, and plenty of humor and amazement at the webs we humans weave!",4.5,36,
1766.10,1766,10,10,When people are helpless,As a short term condition it is right and beneficial to take action to rescue them but if their helplessness is a chronic condition and attitude then one must balance on the sharp edge between effective assistance versus  rescue that would perpetuate the helpless state.,4.5,34,
1766.30,1766,30,30,If I were in charge,Of anything right now it would be a challenge because I do not seem to be able to believe in the idea that anyone can actually BE in charge. It is a mutual illusion.,5.0,14,
